Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Nuts Nylon,11185PK,5mm Stem Length 15mm Head Diameter 8mm Hole Size Rear Bumper Fascia Grommets,5mm Stem Length 15mm Head Diameter 8mm Hole Size Gray Nylon Rear Bumper Fascia Grommets,Gray Nylon,15 Pcs.,"#8 (4.20mm) Screw Size; Honda # 90651-SL9-013, 90651-SL9-0130"
Nuts Nylon,10993PK,6.40mm Stem Length 10.00 x 16.00mm Head Size 7.00 x 11.40mm Hole Size Front Fascia Grommets,6.40mm Stem Length 10.00 x 16.00mm Head Size 7.00 x 11.40mm Hole Size Black Nylon Front Fascia Grommets,Black Nylon,15 Pcs.,#8 (4.20mm) Screw Size; Honda # 90107-SOX-A01
Nuts Nylon,15038PK,6.50mm Stem Length 9.50mm Head Size 7.00 x 7.00mm Hole Size Light Screw Grommet,6.50mm Stem Length 9.50mm Head Size 7.00 x 7.00mm Hole Size Black Nylon Side Marker Light Screw Grommet,Black Nylon,50 Pcs.,#8 (4.20mm)Screw Size; Honda # 75522-611-000; Mazda # 9991-00-412; Mitsubishi # MS-480001
Nuts Nylon,1577PK,6.50mm Stem Length 10mm Head Size 6.00 x 7.00mm Hole Size Light Screw Grommets,6.50mm Stem Length 10mm Head Size 6.00 x 7.00mm Hole Size Natural Nylon Side Marker Light Screw Grommets,Natural Nylon,50 Pcs.,"#8 (4.20mm) Screw Size; Honda # 75522-611-000, 75522-611-0000; Mazda # 9991-00-412; Mitsubishi # MS-480001; Nissan # 96706-B0700, 97606-B0700; Toyota # 90189-04042, 95900-04036"
Nuts Nylon,12465PK,9.50mm Head Size 6mm Hole Size Screw Grommets,9.50mm Head Size 6mm Hole Size White Nylon Screw Grommets,White Nylon,50 Pcs.,#8 (4.20mm) Screw Size; Honda # 34301-692A-0000
Nuts Nylon,16342PK,"10mm Stem Length 14.00 x 28.00mm Head Diameter 5/16"" (8mm) Hole Size","10mm Stem Length 14.00 x 28.00mm Head Diameter 5/16"" (8mm) Hole Size White Nylon",White Nylon,25 Pcs.,#8 (4.20mm) Screw Size; Honda # 90101-SHJ-A01; Honda
Fender Apron Grommets,11264PK,12mm Stem Length 20mm Head Diameter 9mm Hole Size,12mm Stem Length 20mm Head Diameter 9mm Hole Size Black Nylon,Black Nylon,25 Pcs.,#8 (4.20mm) Screw Size; Honda # 90682-SEA-003
Fender Apron Grommets,11281PK,15mm Stem Length 15mm Head Diameter 8mm Hole Size Screw Grommets,15mm Stem Length 15mm Head Diameter 8mm Hole Size Natural Nylon With Sealer Screw Grommets,Natural Nylon,10 Pcs.,#8 (4.20mm) Screw Size; Honda # 90664-SB3-003
Door Panel Screw Grommets,10658PK,16mm Stem Length 12mm Head Diameter 7mm Hole Size,16mm Stem Length 12mm Head Diameter 7mm Hole Size Natural Nylon With Sealer,Natural Nylon,15 Pcs.,"#8 (4.20mm) Screw Size; Honda # 90370-SG0-003, 91626-SH3-003"
Door Panel Screw Grommets,1572PK,17mm Stem Length 16mm Head Diameter 8mm Hole Size Screw Grommets,17mm Stem Length 16mm Head Diameter 8mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,"#8 (4.20mm) Screw Size; Honda # 90661-SC7-0030, 90661-SC7-003; Mazda # H001-50-841; Mitsubishi # MS-480012; Nissan # 01651-00481, 74798-S90000,; Toyota # 90189-06042"
Bumper Grommets,10978PK,7.30mm Stem Length 17mm Head Diameter 1.50 x 7.00mm Hole Size,7.30mm Stem Length 17mm Head Diameter 1.50 x 7.00mm Hole Size Natural Nylon,Natural Nylon,15 Pcs.,#10 (4.80mm) Screw Size; Honda # 90107-SX0-003
Bumper Grommets,1614PK,8mm Stem Length 13mm Head Diameter 8.50mm Hole Size Screw Grommets,8mm Stem Length 13mm Head Diameter 8.50mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,"#10 (4.80mm) Screw Size; Honda # 75521-611-0000, 91619-SA5-003; Mazda # 9991-00-601; Nissan # 96706-P0105; Toyota # 90189-06010"
Moulding Screw Grommets,12914PK,10mm Stem Length 16mm Head Diameter,10mm Stem Length 16mm Head Diameter Black Nylon Wheel Well,Black Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Honda # 90107-S10-003
Nuts Nylon,1296PK,8mm Stem Length 16.50mm Head Size 8.00 x 8.50mm Hole Size Screw Grommets,8mm Stem Length 16.50mm Head Size 8.00 x 8.50mm Hole Size Natural Nylon Screw Grommets 90662-SB-003,Natural Nylon,25 Pcs.,"#10 (4.80mm) Screw Size; Honda # 90662-671-0030, 90662-671-003,; Mazda # 9991-00-503; Nissan # 68425-H5000, 62698-V7000; Honda"
Nuts Nylon,10981PK,14mm Stem Length,14mm Stem Length,,15 Pcs.,#10 (4.80mm) Screw Size
Nuts Nylon,10426PK,14mm Stem Length 25.00 x 26.00mm Head Size 9.50 x 23.00mm Hole Size Spacer Bracket Grommets,14mm Stem Length 25.00 x 26.00mm Head Size 9.50 x 23.00mm Hole Size Black Nylon Headlight To Grille Spacer Bracket Grommets,Black Nylon,10 Pcs.,#10 (4.80mm) Screw Size; Honda # 91635-SM4-003
Nuts Nylon,15147PK,17mm Stem Length 12.00 x 19.00mm Head Size 8.00 x 15.00mm Hole Size Screw Grommets,17mm Stem Length 12.00 x 19.00mm Head Size 8.00 x 15.00mm Hole Size White Nylon Screw Grommets,White Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Honda # 90683-693-0000; Nissan # 78856-R4301
Nuts Nylon,10977PK,5-.80mm Screw Size 8mm Stem Length 13mm Head Size 8mm Hole Size Headlight Adjusting Grommets,5-.80mm Screw Size 8mm Stem Length 13mm Head Size 8mm Hole Size Natural Nylon Headlight Adjusting Grommets,Natural Nylon,25 Pcs.,"Honda # 90676-SA7-003, 90682-SB0-003"
Nuts Nylon,9101PK,8mm Stem Length 13.00 x 15.00mm Head Size 8.50 x 10.50mm Hole Size Screw Grommets,8mm Stem Length 13.00 x 15.00mm Head Size 8.50 x 10.50mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,50 Pcs.,#14 (6.30mm) Screw Size; Honda # 90656-671-6310M1
Cowl & Wheelhouse,16456PK,"5/16"" (8mm) Hole Size 13mm Stem Length 13mm Head Size Screw Grommets","5/16"" (8mm) Hole Size 13mm Stem Length 13mm Head Size White Nylon With Sealer Screw Grommets",White Nylon,25 Pcs.,Honda # 90601-S30-003
Cowl & Wheelhouse,16455PK,"5/16"" (8mm) Hole Size 14mm Stem Length 18mm Head Diameter Tail Light Grommets","5/16"" (8mm) Hole Size 14mm Stem Length 18mm Head Diameter Blue Nylon With Sealer Tail Light Grommets",Blue Nylon,25 Pcs.,Honda # 91626-TA0-A01
Cowl & Wheelhouse,16374PK,"7/16"" (11mm) Hole Size 14mm Stem Length 16mm Head Diameter Screw Grommets","7/16"" (11mm) Hole Size 14mm Stem Length 16mm Head Diameter Natural Nylon With Sealer Screw Grommets",Natural Nylon,25 Pcs.,Honda # 90601-SNV-P01
Nuts Nylon,11397PK,18mm Top Head Diameter 9.50mm Stem Length 10mm Hole Size,18mm Top Head Diameter 9.50mm Stem Length 10mm Hole Size Natural Nylon,Natural Nylon,10 Pcs.,Honda # 91509-SM4-000; Honda
Bumper Grommets,10999PK,18.00 x 20.00mm Head Size 19mm Stem Length 8.00 x 11.00mm Hole Size,18.00 x 20.00mm Head Size 19mm Stem Length 8.00 x 11.00mm Hole Size White Nylon Nut Acorn With Brass Insert,White Nylon,10 Pcs.,Honda # 90106-SW3-003
Retainers Nylon Grommets,13242PK,4-.70mm Thread Size 12mm Flange Diameter 10mm Hex Diameter,4-.70mm Thread Size 12mm Flange Diameter 10mm Hex Diameter Black Nylon Coated Acorn Nuts With Brass Insert,Black Nylon,15 Pcs.,BMW # 07-13-0-702-715; Honda # 75307-SN7-000
Engine Cover Grommets,18230PK,13.50 x 7.60mm Hole Size 16mm Stem Length 14.00 x 22.00mm Head Size,13.50 x 7.60mm Hole Size 16mm Stem Length 14.00 x 22.00mm Head Size Dark Gray Hole Plugs Depressed Center Door Hole Type Black Nylon Metric,Black Nylon,25 Pcs.,Honda # 91548-TZ5-A02
Door Hole Plugs,16334PK,"51/64"" (20mm) Hole Size 29mm Head Size 8.50mm Over all Height","51/64"" (20mm) Hole Size 29mm Head Size 8.50mm Over all Height Black Nylon",Black Nylon,25 Pcs.,Honda # 95551-20000
Door Hole Plugs,16333PK,"51/64"" (20mm) Hole Size 29mm Head Size 9.50mm Over All Height","51/64"" (20mm) Hole Size 29mm Head Size 9.50mm Over All Height Black Nylon",Black Nylon,25 Pcs.,Honda # 90820-SNA-003
