Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Push Type Retainers,17598PK,"1/4"" (6.30mm) Hole Size 13mm Stem Length 15mm Flange Diameter","1/4"" (6.30mm) Hole Size 13mm Stem Length 15mm Flange Diameter Black Nylon 90467-07076-C0",Black Nylon,10 Pcs.,"G.M. # 96057846; Hyundai # 86155-2200; Toyota # 90467-07041, 90467-07041-B2,"
Push Type Retainers,10450PK,"9/32"" (7mm) Hole Size 7.50mm Stem Length 18mm Flange Diameter","9/32"" (7mm) Hole Size 7.50mm Stem Length 18mm Flange Diameter Black Nylon Front Fender Liner",Black Nylon,10 Pcs.,G.M. # 88970767; Toyota # 90467-10183
Push Type Retainers,10537PK,"9/32"" (7mm) Hole Size 7mm Stem Length 18mm Flange Diameter","9/32"" (7mm) Hole Size 7mm Stem Length 18mm Flange Diameter Black Nylon Fender Liner",Black Nylon,15 Pcs.,Toyota # 53879-60010
Push Type Retainers,11124PK,"9/32"" (7mm) Hole Size 8mm Stem Length 19mm Flange Diameter","9/32"" (7mm) Hole Size 8mm Stem Length 19mm Flange Diameter Black Nylon",Black Nylon,10 Pcs.,Toyota # 90467-07211
Push Type Retainers,12907PK,"9/32"" (7mm) Hole Size 9mm Stem Length 19mm Head Diameter","9/32"" (7mm) Hole Size 9mm Stem Length 19mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,Toyota # 53259-0E010
Push Type Retainers,16142PK,"9/32"" (7mm) Hole Size 9mm Stem Length 19mm Flange Diameter","9/32"" (7mm) Hole Size 9mm Stem Length 19mm Flange Diameter Black Nylon Access Cover, Air Deﬂector & Side Sheild Push Type Retainers",Black Nylon,25 Pcs.,Toyota # 90467-07217
Retainers Push Type,12451PK,"9/32"" (7mm) Hole Size 9mm Stem Length 20mm Flange Diameter","9/32"" (7mm) Hole Size 9mm Stem Length 20mm Flange Diameter Black Nylon",Black Nylon,25 Pcs.,Toyota # 90467-07214; Toyota
Door Trim Panel Retainers,12002PK,"9/32"" (7mm) Hole Size 10mm Stem Length 15mm Head Diameter","9/32"" (7mm) Hole Size 10mm Stem Length 15mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,Toyota # 90467-07059-22
Push Type Retainers,10569PK,"9/32"" (7mm) Hole Size 10mm Stem Length 20mm Flange Diameter","9/32"" (7mm) Hole Size 10mm Stem Length 20mm Flange Diameter Black Nylon",Black Nylon,10 Pcs.,Toyota # 90467-07201
Push Type Retainers,10570PK,"9/32"" (7mm) Hole Size 10mm Stem Length 20mm Flange Diameter","9/32"" (7mm) Hole Size 10mm Stem Length 20mm Flange Diameter Black Nylon Fender Splash Shield Push Type Retainers",Black Nylon,10 Pcs.,Suzuki # 09409-07332; Toyota # 90467-07164
Push Type Retainers,9465PK,"9/32"" (7mm) Hole Size 10mm Stem Length 20mm Flange Diameter","9/32"" (7mm) Hole Size 10mm Stem Length 20mm Flange Diameter Black Nylon Front Fender Liner",Black Nylon,15 Pcs.,Toyota # 90467-07166
Push Type Retainers,15952PK,"9/32"" (7mm) Hole Size 10mm Stem Length 20mm Head Diameter","9/32"" (7mm) Hole Size 10mm Stem Length 20mm Head Diameter Black Nylon Fender Liner",Black Nylon,25 Pcs.,Toyota # 90467-07215
Push Type Retainers,18239PK,"9/32"" (7mm) Hole Size 12mm Stem Length 20mm Head Diameter","9/32"" (7mm) Hole Size 12mm Stem Length 20mm Head Diameter Black Nylon Bumper Cover,",Black Nylon,25 Pcs.,Toyota # 90467-07220
Push Type Retainers,15310PK,"9/32"" (7mm) Hole Size 14mm Stem Length 11mm Flange Diameter","9/32"" (7mm) Hole Size 14mm Stem Length 11mm Flange Diameter Black Nylon Bumper Cover",Black Nylon,25 Pcs.,Toyota # 90467-07071-22
Push Type Retainers,10410PK,"9/32"" (7mm) Hole Size 14mm Stem Length 11mm Flange Diameter","9/32"" (7mm) Hole Size 14mm Stem Length 11mm Flange Diameter Black Nylon Radiator Grille",Black Nylon,10 Pcs.,"G.M. # 96057847, 94847334; Suzuki # 09409-07313, 90467-07313; Toyota # 90467-07066, 90467-07066-J0"
Retainers Push Type,10825PK,"9/32"" (7mm) Hole Size 14mm Stem Length 15mm Flange Diameter","9/32"" (7mm) Hole Size 14mm Stem Length 15mm Flange Diameter Black Nylon",Black Nylon,15 Pcs.,Toyota # 90467-07192; Toyota
