Section,Part_Number,Size,Finish,Quantity
Phillips Truss,2121PK,"1/4 (#14) x 3/4""",,50 Pcs.
Hex Head,1939PK,"1/4 (#14) x 5/8""",Black Finish,50 Pcs.
Hex Head,11904PK,"1/4 (#14) x 5/8""",Zinc Finish,50 Pcs.
Hex Head,13251PK,"1/4 (#14) x 5/8""",Black Finish,50 Pcs.
Hex Head,1620PK,"1/4 (#14) x 3/4""",Zinc Finish,50 Pcs.
Hex Head,12010PK,"1/4 (#14) x 3/4""",Stainless,25 Pcs.
Hex Head,9934PK,"1/4 (#14) x 3/4""",Black Finish,50 Pcs.
Hex Head,12008PK,6-1.00 x 16mm,Zinc Finish,50 Pcs.
Hex Head,2124PK,6-1.00 x 16mm,Zinc Finish,50 Pcs.
Hex Head,12269PK,6-1.00 x 16mm,Black Finish,50 Pcs.
Hex Head,10984PK,6-1.00 x 20mm,Zinc Finish,50 Pcs.
Slotted,477PK,"1/4 (#14) x 3/4""",Zinc Finish,100 Pcs.
Slotted,2062PK,"1/4 (#14) x 3/4""",Black Finish,100 Pcs.
Slotted,11445PK,"1/4-20 x 3/4""                             50",Zinc Finish,50 Pcs.
Slotted,10514PK,"1/4-20 x 3/4""                            100",,100 Pcs.
Slotted,11141PK,"1/4-20 x 3/4""                             50",Zinc Finish,50 Pcs.
Slotted,10756PK,6-1.00 x 16mm,Zinc Finish,50 Pcs.
Screws,9071PK,"1/4"" (#14) x 3/4""",Bright Zinc,100 Pcs.
Screws,10455PK,6.3-1.81 x 16mm                           5,,50 Pcs.
Truss Head,12556PK,6.3-1.81 x 20mm                           5,,50 Pcs.
Screws,1650PK,"1/4 (#14) x 1/2""",,25 Pcs.
Washer Head,9882PK,"1/4-20 x 5/8""                             50",,50 Pcs.
Phillips Pan,15363PK,6-1.00 x 12mm,,100 Pcs.
Pan Head,10791PK,6-1.00 x 16mm,,100 Pcs.
Slotted,10888PK,6-1.00 x 16mm,,100 Pcs.
Slotted,9839PK,6-1.00 x 16mm,,100 Pcs.
Pan Head,10095PK,6-1.00 x 20mm,,100 Pcs.
Slotted,9840PK,6-1.00 x 20mm,,100 Pcs.
Screws,9268PK,Size 8,,100 Pcs.
Phillips Pan,485PK,"6 x 3/4""",Zinc Finish,100 Pcs.
Screws,10034PK,with a #6 Screw,,50 Pcs.
Screws,10033PK,"1/2"" Outside Diameter",,50 Pcs.
Screws,1282PK,1/4-20 Thread Size,,25 Pcs.
Screws,9541PK,"1/4-20 x 1""",Chrome Finish,25 Pcs.
Screws,9371PK,1/4-20 Thread Size,,25 Pcs.
Screws,1589PK,6-1.00 x 26mm,Chrome Finish,25 Pcs.
Screws,1793PK,6-1.00mm Thread Size,,10 Pcs.
Screws,9561PK,"1/4-20 x 1"" Screw Size",,
Phillips Oval,9543PK,"1/4-20 x 1""                                 2",Stainless,25 Pcs.
Machine,1095PK,1/4-20 Screw Size,,25 Pcs.
Phillips Oval,9542PK,6-1.00 x 26mm,Stainless,25 Pcs.
Machine,1284PK,6-1.00mm Screw Size,,10 Pcs.
Truss Head,10566PK,14 x 34mm,,25 Pcs.
Truss Head,10539PK,7.50 x 35mm,,15 Pcs.
Truss Head,11178PK,9.20 x 45mm,,15 Pcs.
Torx,10665PK,7.50 x 36.50mm,,25 Pcs.
Phillips Pan,12129PK,"4-40 x 3/8""",,100 Pcs.
Phillips Pan,10001PK,"6-32 x 3/8""",,100 Pcs.
Phillips Pan,10002PK,"6-32 x 1/2""",,100 Pcs.
Phillips Pan,10003PK,"6-32 x 3/4""",,100 Pcs.
Phillips Pan,10004PK,"6-32 x 1""",,100 Pcs.
Phillips Pan,10005PK,"6-32 x 1 1/4""",,100 Pcs.
