Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers Phillips Screw,13396PK,"13/64"" (5mm) Hole Size 9mm Stem Length 8.50 x 12.00mm Head Diameter","13/64"" (5mm) Hole Size 9mm Stem Length 8.50 x 12.00mm Head Diameter Black Nylon Cowl Vent Screw Type Retainers",Black Nylon,15 Pcs.,Ford # 3M8Z-1502316-A; Mazda # GJ6W-50-715A
Retainers Phillips Screw,9684PK,"1/4"" (6.30mm) Hole Size 1/2"" Stem Length 11/16"" Head Diameter","1/4"" (6.30mm) Hole Size 1/2"" Stem Length 11/16"" Head Diameter Black Nylon Trim Panel Screw Type Retainers",Black Nylon,15 Pcs.,Ford # N806322-S
Retainers Phillips Screw,12472PK,"1/4"" (6.30mm) Hole Size 14mm Stem Length 15mm Flange Diameter","1/4"" (6.30mm) Hole Size 14mm Stem Length 15mm Flange Diameter Black Nylon Fender Liner Phillips Screw Retainers",Black Nylon,25 Pcs.,G.M. # 94530438; Ford # B04068865A96
Retainers Phillips Screw,1399PK,"1/4"" (6.30mm) Square Hole 21/32"" Stem Length 15/32 x 15/32"" Flange Size","1/4"" (6.30mm) Square Hole 21/32"" Stem Length 15/32 x 15/32"" Flange Size Black Nylon Trim & Grille Fascia Phillips Screw Retainers",Black Nylon,25 Pcs.,Ford # N803494S
Retainers Phillips Screw,9508PK,"1/4"" (6.30mm) Hole Size 11/16"" Stem Length 11/16"" Flange Size","1/4"" (6.30mm) Hole Size 11/16"" Stem Length 11/16"" Flange Size Black Nylon Phillips Screw Retainers",Black Nylon,25 Pcs.,"Ford # N808147S; G.M. # 10139822, 25680782"
Retainers Phillips Screw,11262PK,"1/4"" (6.30mm) Hole Size 18mm Stem Length 18mm Flange Diameter","1/4"" (6.30mm) Hole Size 18mm Stem Length 18mm Flange Diameter Black Nylon Phillips Screw Retainers",Black Nylon,25 Pcs.,Chrysler # 6508197-AA; Ford # W706092-S300
Retainers Phillips Screw,16313PK,"1/4"" (6.30mm) Hole Size 18mm Stem Length 14mm Head Diameter","1/4"" (6.30mm) Hole Size 18mm Stem Length 14mm Head Diameter Black Nylon Cowl Vent Phillips Screw Retainers",Black Nylon,10 Pcs.,Ford # W703243-S300; Ford
Retainers Phillips Screw,9240PK,"1/4"" (6.30mm) Hole Size 3/4"" Stem Length 11/16"" Flange Diameter","1/4"" (6.30mm) Hole Size 3/4"" Stem Length 11/16"" Flange Diameter Black Nylon Wheelhouse Phillips Screw Retainers",Black Nylon,25 Pcs.,"Ford # YS4Z-16K262-AA, 96FG16K262AA"
Retainers Phillips Screw,10468PK,"1/4"" (6.30mm) Hole Size 3/4"" Stem Length 11/16"" Flange Diameter","1/4"" (6.30mm) Hole Size 3/4"" Stem Length 11/16"" Flange Diameter Black Nylon Trim Panel Phillips Screw Retainers",Black Nylon,15 Pcs.,"Ford # N807578-S, N808332-S"
Retainers Phillips Screw,9509PK,"1/4"" (6.30mm) Hole Size 7/8"" Stem Length 1"" Flange Diameter","1/4"" (6.30mm) Hole Size 7/8"" Stem Length 1"" Flange Diameter Black Nylon Interior Trim Phillips Screw Retainers",Black Nylon,50 Pcs.,Ford # N-804837-S
