Section,Part_Number,Size,Finish,Quantity,OEM_Number
Screws,872PK,5-.80 x 16mm                    8mm,,50 Pcs.,
Screws,873PK,5-.80 x 20mm                    8mm,,50 Pcs.,
Screws,874PK,5-.80 x 25mm                    8mm,,50 Pcs.,
Screws,875PK,5-.80 x 30mm                    8mm,,25 Pcs.,
Screws,15560PK,5-.80 x 40mm                    8mm,,25 Pcs.,
Screws,15561PK,5-.80 x 45mm                    8mm,,25 Pcs.,
Screws,15565PK,6-1.00 x 8mm                    10mm,,50 Pcs.,
Screws,876PK,6-1.00 x 10mm                   10mm,,50 Pcs.,
Screws,15566PK,6-1.00 x 12mm                   10mm,,25 Pcs.,
Screws,9765PK,6-1.00 x 16mm                   10mm,,25 Pcs.,
Screws,877PK,6-1.00 x 20mm                   10mm,,25 Pcs.,
Screws,878PK,6-1.00 x 25mm                   10mm,,25 Pcs.,
Screws,879PK,6-1.00 x 30mm                   10mm,,25 Pcs.,
Screws,880PK,6-1.00 x 35mm                   10mm,,25 Pcs.,
Screws,881PK,6-1.00 x 40mm                   10mm,,25 Pcs.,
Screws,9766PK,6-1.00 x 50mm                   10mm,,25 Pcs.,
Screws,884PK,8-1.25 x 12mm                   13mm,,25 Pcs.,
Screws,885PK,8-1.25 x 16mm                   13mm,,25 Pcs.,
Screws,886PK,8-1.25 x 20mm                   13mm,,25 Pcs.,
Screws,887PK,8-1.25 x 25mm                   13mm,,25 Pcs.,
Screws,888PK,8-1.25 x 30mm                   13mm,,25 Pcs.,
Screws,15588PK,8-1.25 x 35mm                   13mm,,25 Pcs.,
Screws,889PK,8-1.25 x 40mm                   13mm,,25 Pcs.,
Screws,9821PK,8-1.25 x 45mm                   13mm,,25 Pcs.,
Screws,890PK,8-1.25 x 50mm                   13mm,,25 Pcs.,
Screws,891PK,8-1.25 x 60mm                   13mm,,25 Pcs.,
Screws,892PK,8-1.25 x 70mm                   13mm,,10 Pcs.,
Screws,893PK,10-1.50 x 20mm                   17mm,,25 Pcs.,
Screws,894PK,10-1.50 x 25mm                   17mm,,25 Pcs.,
Screws,895PK,10-1.50 x 30mm                   17mm,,25 Pcs.,
Screws,896PK,10-1.50 x 35mm                   17mm,,15 Pcs.,
Screws,897PK,10-1.50 x 40mm                   17mm,,15 Pcs.,
Screws,898PK,10-1.50 x 45mm                   17mm,,15 Pcs.,
Screws,899PK,10-1.50 x 50mm                   17mm,,15 Pcs.,
Screws,900PK,10-1.50 x 60mm                   17mm,,10 Pcs.,
Screws,902PK,10-1.50 x 70mm                   17mm,,10 Pcs.,
Screws,15610PK,12-1.75 x 20mm                      19mm,,10 Pcs.,
Screws,903PK,12-1.75 x 25mm                      19mm,,10 Pcs.,
Screws,904PK,12-1.75 x 30mm                      19mm,,10 Pcs.,
Screws,1797PK,12-1.75 x 35mm                      19mm,,10 Pcs.,
Screws,905PK,12-1.75 x 40mm                      19mm,,10 Pcs.,
Screws,15611PK,12-1.75 x 45mm                      19mm,,10 Pcs.,
Screws,906PK,12-1.75 x 50mm                      19mm,,10 Pcs.,
Screws,907PK,12-1.75 x 60mm                      19mm,,10 Pcs.,
Screws,15624PK,14-2.00 x 25mm                      21mm,,10 Pcs.,
Screws,15625PK,14-2.00 x 30mm                      21mm,,10 Pcs.,
Screws,15627PK,14-2.00 x 40mm                      21mm,,10 Pcs.,
Screws,15629PK,14-2.00 x 50mm                      21mm,,10 Pcs.,
Screws,15630PK,14-2.00 x 55mm                      21mm,,10 Pcs.,
Screws,15631PK,14-2.00 x 60mm                      21mm,,10 Pcs.,
Screws,12281PK,3.50mm Bolt Size,,100 Pcs.,
Washers,1651PK,4mm                  4.30mm,Bright Zinc,50 Pcs.,
Washers,1652PK,5mm                  5.30mm,Bright Zinc,50 Pcs.,
Washers,1654PK,6mm                  6.40mm,Bright Zinc,100 Pcs.,
Washers,1655PK,8mm                  8.40mm,Bright Zinc,100 Pcs.,
Washers,1656PK,10mm                 10.50mm,Bright Zinc,100 Pcs.,
Washers,1657PK,12mm                  13mm,Bright Zinc,25 Pcs.,
Washers,11998PK,14mm                  15mm,Bright Zinc,25 Pcs.,
Washers,12259PK,5mm                  5.30mm,,100 Pcs.,
Washers,12260PK,6mm                  6.40mm,,100 Pcs.,
Washers,12261PK,8mm                  8.40mm,,100 Pcs.,
Washers,12262PK,10mm                 10.50mm,,50 Pcs.,
Washers,1658PK,4mm              4.10mm,Bright Zinc,50 Pcs.,
Washers,1659PK,5mm              5.10mm,Bright Zinc,50 Pcs.,
Washers,1661PK,6mm              6.10mm,Bright Zinc,100 Pcs.,
