Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Tools & Supplies,1146PK,"10"" Overall Length Have Nose pieces for Rivets 3/32"", 1/8"", 5/32"" & 3/16"" Diamet","10"" Overall Length Have Nose pieces for Rivets 3/32"", 1/8"", 5/32"" & 3/16"" Diameter Hand Riveter",,1 Pc.,
Tools & Supplies,12891PK,"Heavy Duty 8 1/2"" Overall Length Single Stroke Blind Rivet Gun (For Nylon Rivets","Heavy Duty 8 1/2"" Overall Length Single Stroke Blind Rivet Gun (For Nylon Rivets Only)",,1 Pc.,
Tools & Supplies,1204PK,"61/2"" Long Use for All Rivets Sizes Single Stroke Rivet Setter Gun (For Nylon Ri","61/2"" Long Use for All Rivets Sizes Single Stroke Rivet Setter Gun (For Nylon Rivets Only)",,1 Pc.,
Tools & Supplies,12392PK,"Can Pull up to .189"" Wide Cable Tie 6 5/32"" Overall Length Blue All Metal Pistol","Can Pull up to .189"" Wide Cable Tie 6 5/32"" Overall Length Blue All Metal Pistol Grip Cable Tie Gun",,1 Pc.,
Tools & Supplies,12393PK,"Can Pull up to .355"" Wide Cable Tie 6 1/4"" Overall Length Red All Metal Cable Ti","Can Pull up to .355"" Wide Cable Tie 6 1/4"" Overall Length Red All Metal Cable Tie Gun",,1 Pc.,
Tools & Supplies,11410PK,"Measuring Sizes 3/32 - 1/4"" Diameters Red Plastic Pop Rivet Gauge","Measuring Sizes 3/32 - 1/4"" Diameters Red Plastic Pop Rivet Gauge",,1 Pc.,
Tools & Supplies,12352PK,"Measuring Sizes #4- 1"" & 3.00- 22.00mm White Plastic Nuts, Bolts, Screws & Washe","Measuring Sizes #4- 1"" & 3.00- 22.00mm White Plastic Nuts, Bolts, Screws & Washers Nut & Bolt Gauge",,1 Pc.,
Tools & Supplies,13319PK,"41/2"" Long Measures Standard & Metric Screw and Fasteners Stainless Steel Screw ","41/2"" Long Measures Standard & Metric Screw and Fasteners Stainless Steel Screw Gauge",,1 Pc.,
Drill Bits,10847PK,"1/16""               1 7/8""                 135°             Gold         HSS Cob","1/16""               1 7/8""                 135°             Gold         HSS Cobalt Drill Bits",,10 Pcs.,
Drill Bits,10848PK,"5/64""                   2""                 135°             Gold         HSS Cob","5/64""                   2""                 135°             Gold         HSS Cobalt Drill Bits",,10 Pcs.,
Drill Bits,10849PK,"3/32""               2 1/4""                 135°             Gold         HSS Cob","3/32""               2 1/4""                 135°             Gold         HSS Cobalt Drill Bits",,5Pcs.,
Drill Bits,10850PK,"7/64""               2 5/8""                 135°             Gold         HSS Cob","7/64""               2 5/8""                 135°             Gold         HSS Cobalt Drill Bits",,5Pcs.,
